oh	UH	oh
I	PP	I
was	VBD	be
erm	NN	erm
signals	NNS	signal
edge	NN	edge
and	CC	and
codes	NNS	code
and	CC	and
cyphers	NNS	cypher
there	RB	there
they	PP	they
thought	VBD	think
they	PP	they
would	MD	would
put	VB	put
a	DT	a
WRAF	NP	<unknown>
section	NN	section
into	IN	into
Kenya	NP	Kenya
and	CC	and
though	IN	though
I	PP	I
had	VBD	have
already	RB	already
served	VBN	serve
in	IN	in
Egypt	NP	Egypt
for	IN	for
a	DT	a
few	JJ	few
months	NNS	month
and	CC	and
we	PP	we
were	VBD	be
thrown	VBN	throw
out	RP	out
and	CC	and
went	VBD	go
to	TO	to
Cypress	NP	Cypress
where	WRB	where
we	PP	we
had	VBD	have
terrorism	NN	terrorism
they	PP	they
thought	VBD	think
they	PP	they
'd	MD	will
put	VB	put
WRAF	NP	<unknown>
to	TO	to
Kenya	NP	Kenya
so	IN	so
I	PP	I
was	VBD	be
sent	VBN	send
down	RP	down
as	IN	as
the	DT	the
vanguard	NN	vanguard
to	TO	to
be	VB	be
you	PP	you
know	VBP	know
base	NN	base
the	DT	the
signals	NNS	signal
edge	NN	edge
and	CC	and
cyphers	VBZ	cypher
officer	NN	officer
with	IN	with
the	DT	the
idea	NN	idea
that	IN	that
I	PP	I
'd	MD	will
be	VB	be
there	RB	there
to	TO	to
open	VB	open
up	RP	up
when	WRB	when
when	WRB	when
we	PP	we
came	VBD	come
this	DT	this
was	VBD	be
terrorism	NN	terrorism
erm	NN	erm
but	CC	but
erm	NN	erm
that	WDT	that
never	RB	never
happened	VBD	happen
