Cos	NP	Cos
I	PP	I
have	VBP	have
n't	RB	n't
sold	VBN	sell
it	PP	it
I	PP	I
do	VBP	do
n't	RB	n't
need	VB	need
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
sell	VB	sell
it	PP	it
and	CC	and
if	IN	if
I	PP	I
I	PP	I
have	VBP	have
any	DT	any
intention	NN	intention
to	TO	to
sell	VB	sell
it	PP	it
I	PP	I
have	VBP	have
to	TO	to
do	VB	do
so	RB	so
much	RB	much
work	VB	work
on	IN	on
it	PP	it
I	PP	I
mean	VBP	mean
because	IN	because
I	PP	I
've	VBP	have
lived	VBN	live
there	RB	there
and	CC	and
I	PP	I
just	RB	just
let	VBP	let
I	PP	I
have	VBP	have
n't	RB	n't
needed	VBN	need
to	TO	to
I	PP	I
've	VBP	have
had	VBD	have
things	NNS	thing
done	VBN	do
but	CC	but
I	PP	I
'm	VBP	be
not	RB	not
a	DT	a
DIY	NN	DIY
expert	NN	expert
I	PP	I
get	VBP	get
people	NNS	people
in	IN	in
like	IN	like
I	PP	I
had	VBD	have
the	DT	the
roof	NN	roof
done	VBN	do
when	WRB	when
the	DT	the
next	JJ	next
door	NN	door
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
had	VBD	have
theirs	PP	theirs
done	VBN	do
I	PP	I
had	VBD	have
double	JJ	double
glazing	NN	glazing
done	VBN	do
when	WRB	when
my	PP$	my
brother	NN	brother
's	POS	's
mate	NN	mate
he	PP	he
said	VBD	say
double	JJ	double
glazing	NN	glazing
I	PP	I
'll	MD	will
do	VB	do
it	PP	it
I	PP	I
had	VBD	have
the	DT	the
floorboards	NNS	floorboard
done	VBN	do
when	WRB	when
I	PP	I
had	VBD	have
a	DT	a
problem	NN	problem
with	IN	with
them	PP	them
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
all	DT	all
that	WDT	that
sorted	VBD	sort
I	PP	I
had	VBD	have
a	DT	a
new	JJ	new
wall	NN	wall
outside	IN	outside
when	WRB	when
some	DT	some
bloke	NN	bloke
came	VBD	come
round	NN	round
had	VBD	have
a	DT	a
chimney	NN	chimney
when	WRB	when
these	DT	these
things	NNS	thing
happen	VBP	happen
but	CC	but
the	DT	the
thing	NN	thing
is	VBZ	be
there	EX	there
's	VBZ	be
only	RB	only
so	RB	so
much	JJ	much
you	PP	you
can	MD	can
do	VB	do
