all	PDT	all
this	DT	this
started	VBD	start
spiralling	VBG	spiral
from	IN	from
so	IN	so
I	PP	I
I	PP	I
to	TO	to
be	VB	be
honest	JJ	honest
I	PP	I
do	VBP	do
n't	RB	n't
really	RB	really
understand	VB	understand
it	PP	it
so	IN	so
I	PP	I
'm	VBP	be
just	RB	just
gonna	VBG	gonna
write	VB	write
and	CC	and
say	VB	say
look	NN	look
I	PP	I
do	VBP	do
n't	RB	n't
understand	VB	understand
how	WRB	how
this	DT	this
has	VBZ	have
happened	VBN	happen
I	PP	I
have	VBP	have
come	VBN	come
in	RP	in
and	CC	and
spoke	VBD	speak
to	TO	to
you	PP	you
about	IN	about
this	DT	this
before	IN	before
you	PP	you
can	MD	can
see	VB	see
I	PP	I
paid	VBN	pay
in	IN	in
a	DT	a
cheque	NN	cheque
of	IN	of
two	CD	two
hundred	CD	hundred
pounds	NNS	pound
two	CD	two
months	NNS	month
ago	RB	ago
to	TO	to
hopefully	RB	hopefully
clear	VB	clear
this	DT	this
and	CC	and
it	PP	it
has	VBZ	have
n't	RB	n't
it	PP	it
's	VBZ	have
just	RB	just
been	VBN	be
eaten	VBN	eat
by	IN	by
more	JJR	more
charges	NNS	charge
and	CC	and
I	PP	I
'm	VBP	be
in	IN	in
the	DT	the
same	JJ	same
position	NN	position
again	RB	again
I	PP	I
do	VBP	do
n't	RB	n't
understand	VB	understand
it	PP	it
can	MD	can
I	PP	I
have	VB	have
a	DT	a
meeting	NN	meeting
with	IN	with
you	PP	you
please	VBP	please
and	CC	and
go	VBP	go
through	IN	through
this	DT	this
account	NN	account
cos	NN	cos
it	PP	it
's	VBZ	be
just	RB	just
gonna	VBG	gonna
get	VB	get
out	RP	out
of	IN	of
control	NN	control
