we	PP	we
do	VBP	do
have	VB	have
to	TO	to
do	VB	do
like	IN	like
if	IN	if
you	PP	you
're	VBP	be
reading	VBG	read
a	DT	a
textbook	NN	textbook
and	CC	and
it	PP	it
says	VBZ	say
this	DT	this
person	NN	person
once	RB	once
said	VBD	say
this	DT	this
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
like	IN	like
if	IN	if
you	PP	you
're	VBP	be
writing	VBG	write
it	PP	it
you	PP	you
say	VBP	say
according	VBG	accord
to	TO	to
it	PP	it
'll	MD	will
say	VB	say
according	VBG	accord
to	TO	to
twenty	CD	twenty
fifteen	CD	fifteen
add	VB	add
and	CC	and
then	RB	then
the	DT	the
quote	NN	quote
or	CC	or
paraphrase	NN	paraphrase
and	CC	and
then	RB	then
you	PP	you
have	VBP	have
to	TO	to
put	VB	put
cited	VBN	cite
in	IN	in
twenty	CD	twenty
fifteen	CD	fifteen
if	IN	if
that	WDT	that
's	VBZ	be
quite	RB	quite
good	JJ	good
because	IN	because
it	PP	it
makes	VBZ	make
it	PP	it
look	VB	look
like	IN	like
you	PP	you
've	VBP	have
read	VBN	read
a	DT	a
lot	NN	lot
more	RBR	more
but	CC	but
because	IN	because
if	IN	if
it	PP	it
was	VBD	be
a	DT	a
quote	NN	quote
I	PP	I
'd	MD	will
obviously	RB	obviously
I	PP	I
'd	MD	will
have	VB	have
to	TO	to
put	VB	put
if	IN	if
I	PP	I
wanted	VBD	want
to	TO	to
shshow	NN	<unknown>
that	IN	that
I	PP	I
actually	RB	actually
read	VBP	read
this	DT	this
book	NN	book
I	PP	I
'd	MD	will
have	VB	have
to	TO	to
put	VB	put
a	DT	a
quote	NN	quote
in	IN	in
I	PP	I
have	VBP	have
n't	RB	n't
got	VBN	get
a	DT	a
page	NN	page
number	NN	number
put	VBD	put
a	DT	a
page	NN	page
number	NN	number
for	IN	for
all	DT	all
of	IN	of
it	PP	it
so	IN	so
you	PP	you
have	VBP	have
to	TO	to
put	VB	put
cited	VBN	cite
in	IN	in
twenty-fourteen	NN	twenty-fourteen
page	NN	page
whatever	WDT	whatever
