with	IN	with
the	DT	the
speak	VBP	speak
we	PP	we
ca	MD	ca
n't	RB	n't
just	RB	just
say	VBP	say
speak	VB	speak
I	PP	I
we	PP	we
have	VBP	have
to	TO	to
say	VB	say
I	PP	I
speak	VB	speak
English	NNS	English
not	RB	not
speak	VBP	speak
English	JJ	English
but	CC	but
in	IN	in
Spanish	NP	Spanish
they	PP	they
do	VBP	do
n't	RB	n't
they	PP	they
just	RB	just
say	VBP	say
hablo	NN	<unknown>
ingles	NNS	ingle
which	WDT	which
would	MD	would
be	VB	be
I	PP	I
speak	VBP	speak
English	JJ	English
not	RB	not
yo	NN	yo
hablo	NN	<unknown>
ingles	NNS	ingle
so	IN	so
English	NP	English
is	VBZ	be
called	VBN	call
a	DT	a
non-null	JJ	<unknown>
subject	JJ	subject
language	NN	language
and	CC	and
Spanish	JJ	Spanish
is	VBZ	be
an	DT	an
er	NN	er
is	VBZ	be
a	DT	a
null	JJ	null
subject	JJ	subject
language	NN	language
so	IN	so
they	PP	they
believe	VBP	believe
that	IN	that
children	NNS	child
just	RB	just
set	VBD	set
the	DT	the
parameters	NNS	parameter
they	PP	they
listen	VBP	listen
and	CC	and
they	PP	they
go	VBP	go
I	PP	I
need	VBP	need
to	TO	to
say	VB	say
the	DT	the
the	DT	the
who	WP	who
it	PP	it
is	VBZ	be
in	IN	in
this	DT	this
language	NN	language
so	RB	so
then	RB	then
they	PP	they
say	VBP	say
it	PP	it
and	CC	and
they	PP	they
structure	VBP	structure
the	DT	the
language	NN	language
that	IN	that
way	NN	way
that	WDT	that
's	VBZ	be
what	WP	what
I	PP	I
'm	VBP	be
studying	VBG	study
not	RB	not
in	IN	in
syntax	NN	syntax
I	PP	I
'm	VBP	be
studying	VBG	study
the	DT	the
underlying	VBG	underlie
structure	NN	structure
of	IN	of
language	NN	language
and	CC	and
how	WRB	how
the	DT	the
variation	NN	variation
between	IN	between
languages	NNS	language
and	CC	and
there	EX	there
's	VBZ	be
all	DT	all
sorts	NNS	sort
of	IN	of
parameters	NNS	parameter
