hello	NN	hello
uhu	NP	uhu
six	CD	six
S	NP	S
yeah	RB	yeah
six	CD	six
yeah	RB	yeah
well	RB	well
six	CD	six
it	PP	it
's	VBZ	be
not	RB	not
six	CD	six
S	NN	S
yeah	RB	yeah
six	CD	six
okay	NN	okay
alright	RB	alright
that	DT	that
's	VBZ	be
brill	NN	brill
I	PP	I
'll	MD	will
do	VB	do
that	DT	that
tomorrow	NN	tomorrow
then	RB	then
please	VB	please
erm	NN	erm
and	CC	and
then	RB	then
I	PP	I
'll	MD	will
send	VB	send
you	PP	you
the	DT	the
erm	JJ	<unknown>
SIM	NP	Sim
number	NN	number
so	IN	so
you	PP	you
can	MD	can
ring	VB	ring
I	PP	I
'll	MD	will
send	VB	send
you	PP	you
the	DT	the
SIM	NP	Sim
number	NN	number
so	IN	so
you	PP	you
can	MD	can
ring	VB	ring
so	IN	so
I	PP	I
can	MD	can
be	VB	be
back	RB	back
on	IN	on
my	PP$	my
original	JJ	original
contract	NN	contract
so	IN	so
I	PP	I
'm	VBP	be
not	RB	not
on	IN	on
this	DT	this
stupid	JJ	stupid
pay	NN	pay
as	IN	as
you	PP	you
go	VBP	go
I	PP	I
needed	VBD	need
your	PP$	your
account	NN	account
details	NNS	detail
and	CC	and
stuff	VBP	stuff
I	PP	I
was	VBD	be
n't	RB	n't
able	JJ	able
to	TO	to
get	VB	get
into	IN	into
it	PP	it
I	PP	I
needed	VBD	need
erm	NN	erm
how	WRB	how
much	JJ	much
my	PP$	my
original	JJ	original
bill	NN	bill
was	VBD	be
which	WDT	which
I	PP	I
know	VBP	know
now	RB	now
is	VBZ	be
fifty-three	NN	fifty-three
pounds	NNS	pound
so	IN	so
I	PP	I
've	VBP	have
got	VBN	get
that	DT	that
erm	NN	erm
whichever	WDT	whichever
mother	NN	mother
's	POS	's
maiden	JJ	maiden
name	NN	name
is	VBZ	be
it	PP	it
yours	PP	yours
or	CC	or
mine	NN	mine
?	SENT	?
was	VBD	be
it	PP	it
yours	PP	yours
your	PP$	your
your	PP$	your
mum	NN	mum
's	POS	's
?	SENT	?
so	RB	so
it	PP	it
's	VBZ	be
your	PP$	your
mum	NN	mum
's	POS	's
?	SENT	?
right	RB	right
I	PP	I
thought	VBD	think
so	RB	so
and	CC	and
that	DT	that
's	VBZ	be
yeah	RB	yeah
I	PP	I
thought	VBD	think
so	RB	so
and	CC	and
I	PP	I
need	VBP	need
your	PP$	your
sorting	VBG	sort
code	NN	code
and	CC	and
account	NN	account
details	NNS	detail
of	IN	of
the	DT	the
card	NN	card
that	IN	that
you	PP	you
paid	VBD	pay
on	IN	on
