yes	UH	yes
of	IN	of
course	NN	course
cos	NN	cos
you	PP	you
were	VBD	be
there	RB	there
when	WRB	when
you	PP	you
were	VBD	be
older	JJR	old
you	PP	you
know	VBP	know
down	RB	down
by	IN	by
the	DT	the
flat	JJ	flat
where	WRB	where
grandma	NN	grandma
used	VBD	use
to	TO	to
live	VB	live
there	EX	there
was	VBD	be
a	DT	a
gate	NN	gate
at	IN	at
the	DT	the
back	RB	back
and	CC	and
then	RB	then
the	DT	the
alleyway	NN	alleyway
that	WDT	that
went	VBD	go
both	DT	both
ways	NNS	way
and	CC	and
then	RB	then
turned	VBD	turn
back	RB	back
down	IN	down
Street	NP	Street
again	RB	again
well	RB	well
he	PP	he
obviously	RB	obviously
opened	VBD	open
the	DT	the
gate	NN	gate
to	TO	to
see	VB	see
where	WRB	where
it	PP	it
led	VBD	lead
and	CC	and
the	DT	the
dog	NN	dog
had	VBD	have
got	VBN	get
out	RP	out
so	IN	so
he	PP	he
goes	VBZ	go
after	IN	after
the	DT	the
dog	NN	dog
ca	MD	ca
n't	RB	n't
find	VB	find
the	DT	the
dog	NN	dog
and	CC	and
of	IN	of
course	NN	course
your	PP$	your
father	NN	father
jetlagged	VBD	jetlag
had	VBD	have
gone	VBN	go
to	TO	to
bed	VB	bed
so	IN	so
we	PP	we
had	VBD	have
to	TO	to
get	VB	get
him	PP	him
up	RP	up
and	CC	and
I	PP	I
went	VBD	go
round	VB	round
the	DT	the
streets	NNS	street
with	IN	with
in	IN	in
the	DT	the
car	NN	car
and	CC	and
found	VBD	find
him	PP	him
walking	VBG	walk
down	RP	down
Street	NP	Street
crying	VBG	cry
so	IN	so
I	PP	I
leapt	VBD	leap
out	RP	out
of	IN	of
the	DT	the
car	NN	car
and	CC	and
I	PP	I
ca	MD	ca
n't	RB	n't
get	VB	get
that	DT	that
dog	NN	dog
back	RB	back
was	VBD	be
all	DT	all
he	PP	he
could	MD	could
say	VB	say
