erm	NN	erm
no	RB	no
not	RB	not
only	RB	only
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
provide	VB	provide
some	DT	some
learning	NN	learning
to	TO	to
fill	VB	fill
some	DT	some
stuff	NN	stuff
that	WDT	that
's	VBZ	be
gonna	VBG	gonna
be	VB	be
difficult	JJ	difficult
for	IN	for
you	PP	you
to	TO	to
fill	VB	fill
otherwise	RB	otherwise
but	CC	but
certainly	RB	certainly
it	PP	it
's	VBZ	be
also	RB	also
giving	VBG	give
you	PP	you
that	IN	that
warm	JJ	warm
touchy	JJ	touchy
friendly	JJ	friendly
feeling	NN	feeling
because	IN	because
everybody	NN	everybody
wants	VBZ	want
to	TO	to
say	VB	say
oh	UH	oh
we	PP	we
are	VBP	be
a	DT	a
lovely	JJ	lovely
university	NN	university
and	CC	and
we	PP	we
are	VBP	be
so	RB	so
friendly	JJ	friendly
with	IN	with
our	PP$	our
students	NNS	student
and	CC	and
they	PP	they
love	VBP	love
us	PP	us
so	IN	so
you	PP	you
're	VBP	be
trying	VBG	try
to	TO	to
warm	VB	warm
warm	VB	warm
up	RP	up
the	DT	the
bed	NN	bed
so	RB	so
to	TO	to
speak	VB	speak
by	IN	by
giving	VBG	give
people	NNS	people
this	DT	this
expectation	NN	expectation
that	IN	that
okay	RB	okay
this	DT	this
case	NN	case
study	NN	study
may	MD	may
not	RB	not
come	VB	come
university	NN	university
but	CC	but
the	DT	the
fact	NN	fact
that	IN	that
you	PP	you
've	VBP	have
putting	VBG	put
it	PP	it
in	IN	in
your	PP$	your
online	JJ	online
course	NN	course
at	IN	at
university	NN	university
by	IN	by
association	NN	association
means	VBZ	mean
that	IN	that
students	NNS	student
might	MD	might
expect	VB	expect
that	IN	that
they	PP	they
can	MD	can
do	VB	do
something	RB	something
similar	JJ	similar
themselves	PP	themselves
they	PP	they
cou	VBZ	<unknown>
they	PP	they
too	RB	too
could	MD	could
go	VB	go
to	TO	to
a	DT	a
lecturer	NN	lecturer
and	CC	and
say	VBP	say
well	RB	well
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
've	VBP	have
had	VBD	have
this	DT	this
great	JJ	great
idea	NN	idea
how	WRB	how
about	RB	about
we	PP	we
go	VBP	go
for	IN	for
a	DT	a
coffee	NN	coffee
and	CC	and
have	VB	have
a	DT	a
chat	NN	chat
about	IN	about
it	PP	it
?	SENT	?
and	CC	and
the	DT	the
lecturer	NN	lecturer
was	VBD	be
like	JJ	like
oh	UH	oh
my	PP$	my
god	NN	god
somebody	NN	somebody
's	VBZ	be
come	VBN	come
and	CC	and
asked	VBN	ask
me	PP	me
to	TO	to
go	VB	go
and	CC	and
have	VBP	have
a	DT	a
coffee	NN	coffee
with	IN	with
them	PP	them
and	CC	and
they	PP	they
're	VBP	be
an	DT	an
undergrad	NN	<unknown>
student	NN	student
I	PP	I
do	VBP	do
n't	RB	n't
even	RB	even
talk	VB	talk
to	TO	to
undergrads	NNS	undergrad
the	DT	the
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
mean	VBP	mean
?	SENT	?
so	RB	so
there	EX	there
's	VBZ	be
this	DT	this
kind	NN	kind
of	IN	of
like	IN	like
you	PP	you
're	VBP	be
selling	VBG	sell
on	IN	on
a	DT	a
a	DT	a
feeling	NN	feeling
you	PP	you
're	VBP	be
not	RB	not
selling	VBG	sell
just	RB	just
a	DT	a
product	NN	product
you	PP	you
're	VBP	be
selling	VBG	sell
a	DT	a
feeling	NN	feeling
of	IN	of
the	DT	the
product	NN	product
too	RB	too
like	IN	like
a	DT	a
warmth	NN	warmth
to	TO	to
it	PP	it
bringing	VBG	bring
in	IN	in
this	DT	this
idea	NN	idea
of	IN	of
like	IN	like
Oxford	NP	Oxford
and	CC	and
Cambridge	NP	Cambridge
where	WRB	where
you	PP	you
used	VBD	use
to	TO	to
go	VB	go
round	NN	round
for	IN	for
a	DT	a
cup	NN	cup
of	IN	of
tea	NN	tea
with	IN	with
your	PP$	your
you	PP	you
know	VBP	know
your	PP$	your
personal	JJ	personal
tutor	NN	tutor
and	CC	and
your	PP$	your
personal	JJ	personal
tutor	NN	tutor
would	MD	would
ask	VB	ask
you	PP	you
all	DT	all
sorts	NNS	sort
of	IN	of
questions	NNS	question
about	IN	about
your	PP$	your
life	NN	life
and	CC	and
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
with	IN	with
your	PP$	your
life	NN	life
and	CC	and
give	VB	give
you	PP	you
biscuits	NNS	biscuit
that	WDT	that
idea	NN	idea
you	PP	you
know	VBP	know
?	SENT	?
friendly	JJ	friendly
warm	JJ	warm
helpful	JJ	helpful
and	CC	and
the	DT	the
good	JJ	good
thing	NN	thing
about	IN	about
it	PP	it
is	VBZ	be
is	VBZ	be
that	IN	that
what	WP	what
you	PP	you
're	VBP	be
what	WP	what
you	PP	you
're	VBP	be
proving	VBG	prove
to	TO	to
others	NNS	other
is	VBZ	be
that	IN	that
it	PP	it
's	VBZ	be
sustainable	JJ	sustainable
cos	NN	cos
what	WP	what
they	PP	they
're	VBP	be
saying	VBG	say
is	VBZ	be
you	PP	you
can	MD	can
come	VB	come
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
you	PP	you
can	MD	can
come	VB	come
to	TO	to
our	PP$	our
website	NN	website
you	PP	you
can	MD	can
have	VB	have
a	DT	a
look	NN	look
and	CC	and
preview	NN	preview
at	IN	at
some	DT	some
of	IN	of
our	PP$	our
case	NN	case
studies	NNS	study
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
make	VB	make
a	DT	a
case	NN	case
study	NN	study
with	IN	with
us	PP	us
about	IN	about
something	NN	something
we	PP	we
are	VBP	be
happy	JJ	happy
to	TO	to
do	VB	do
that	IN	that
but	CC	but
it	PP	it
needs	VBZ	need
to	TO	to
be	VB	be
