settled	VBN	settle
in	IN	in
the	DT	the
house	NN	house
I	PP	I
'm	VBP	be
quite	RB	quite
like	IN	like
er	NNS	<unknown>
just	RB	just
coming	VBG	come
home	NN	home
and	CC	and
chilling	VBG	chill
out	RP	out
and	CC	and
I	PP	I
do	VBP	do
n't	RB	n't
really	RB	really
do	VB	do
much	RB	much
at	IN	at
the	DT	the
weekends	NNS	weekend
and	CC	and
that	DT	that
's	VBZ	be
quite	RB	quite
how	WRB	how
I	PP	I
like	VBP	like
it	PP	it
I	PP	I
do	VBP	do
n't	RB	n't
really	RB	really
go	VB	go
into	IN	into
town	NN	town
now	RB	now
I	PP	I
do	VBP	do
n't	RB	n't
get	VB	get
really	RB	really
dressed	VBN	dress
up	RP	up
and	CC	and
so	RB	so
now	RB	now
now	RB	now
for	IN	for
the	DT	the
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
ages	NNS	age
I	PP	I
've	VBP	have
had	VBD	have
like	IN	like
three	CD	three
or	CC	or
four	CD	four
occasions	NNS	occasion
where	WRB	where
I	PP	I
've	VBP	have
had	VBD	have
to	TO	to
er	RB	<unknown>
get	VB	get
really	RB	really
dressed	VBN	dress
up	RP	up
and	CC	and
I	PP	I
think	VB	think
oh	UH	oh
I	PP	I
d	SYM	d
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
how	WRB	how
to	TO	to
do	VB	do
it	PP	it
I	PP	I
do	VBP	do
n't	RB	n't
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
do	VB	do
it	PP	it
I	PP	I
do	VBP	do
n't	RB	n't
like	VB	like
it	PP	it
and	CC	and
in	IN	in
actual	JJ	actual
fact	NN	fact
