Irish	JJ	Irish
erm	NN	erm
and	CC	and
in	IN	in
the	DT	the
end	NN	end
we	PP	we
there	RB	there
were	VBD	be
four	CD	four
people	NNS	people
in	IN	in
the	DT	the
group	NN	group
me	PP	me
included	VBD	include
one	PP	one
was	VBD	be
er	VBG	<unknown>
no	RB	no
actually	RB	actually
five	CD	five
one	CD	one
of	IN	of
them	PP	them
pretty	RB	pretty
much	RB	much
dropped	VBD	drop
out	RP	out
as	RB	as
soon	RB	soon
as	IN	as
it	PP	it
started	VBD	start
I	PP	I
never	RB	never
got	VBD	get
to	TO	to
meet	VB	meet
them	PP	them
that	DT	that
was	VBD	be
the	DT	the
sound	JJ	sound
guy	NN	guy
erm	NN	erm
there	RB	there
was	VBD	be
a	DT	a
3D	JJ	3D
games	NNS	game
guy	NN	guy
that	WDT	that
was	VBD	be
just	RB	just
so	RB	so
flaky	JJ	flaky
incredibly	RB	incredibly
flaky	JJ	flaky
erm	NN	erm
and	CC	and
then	RB	then
there	EX	there
was	VBD	be
one	PP	one
other	JJ	other
I	PP	I
think	VBP	think
he	PP	he
was	VBD	be
the	DT	the
graphics	NNS	graphics
guy	NN	guy
and	CC	and
again	RB	again
he	PP	he
the	DT	the
graphics	NNS	graphics
guy	NN	guy
actually	RB	actually
I	PP	I
think	VBP	think
dropped	VBN	drop
out	RP	out
of	IN	of
the	DT	the
course	NN	course
was	VBD	be
it	PP	it
was	VBD	be
it	PP	it
?	SENT	?
no	RB	no
maybe	RB	maybe
it	PP	it
was	VBD	be
the	DT	the
sound	JJ	sound
guy	NN	guy
he	PP	he
dropped	VBD	drop
out	RP	out
of	IN	of
the	DT	the
course	NN	course
graphics	NNS	graphics
guy	VBP	guy
I	PP	I
think	VBP	think
we	PP	we
might	MD	might
have	VB	have
met	VBN	meet
him	PP	him
once	RB	once
and	CC	and
he	PP	he
never	RB	never
did	VBD	do
anything	NN	anything
and	CC	and
then	RB	then
you	PP	you
know	VBP	know
he	PP	he
just	RB	just
in	IN	in
the	DT	the
end	NN	end
it	PP	it
was	VBD	be
just	RB	just
three	CD	three
of	IN	of
us	PP	us
in	IN	in
the	DT	the
group	NN	group
