yes	UH	yes
but	CC	but
twenty	CD	twenty
percent	NN	percent
is	VBZ	be
tax	NN	tax
ten	CD	ten
percent	NN	percent
is	VBZ	be
National	NP	National
Insurance	NP	Insurance
I	PP	I
whack	VBP	whack
on	IN	on
another	DT	another
ten	CD	ten
percent	NN	percent
in	IN	in
my	PP$	my
student	NN	student
loans	NNS	loan
then	RB	then
you	PP	you
've	VBP	have
got	VBN	get
council	NN	council
tax	NN	tax
then	RB	then
you	PP	you
've	VBP	have
got	VBN	get
you	PP	you
know	VBP	know
all	DT	all
sorts	NNS	sort
of	IN	of
taxes	NNS	tax
on	IN	on
top	NN	top
you	PP	you
end	VBP	end
up	RP	up
paying	VBG	pay
fifty	CD	fifty
percent	NN	percent
in	IN	in
tax	NN	tax
before	IN	before
you	PP	you
've	VBP	have
ever	RB	ever
done	VBN	do
anything	NN	anything
VAT	NN	VAT
twenty	CD	twenty
percent	NN	percent
of	IN	of
every	DT	every
single	JJ	single
thing	NN	thing
you	PP	you
buy	VBP	buy
it	PP	it
just	RB	just
it	PP	it
's	VBZ	be
not	RB	not
cost-effective	JJ	cost-effective
I	PP	I
can	MD	can
earn	VB	earn
and	CC	and
save	VB	save
better	JJR	good
money	NN	money
elsewhere	RB	elsewhere
now	RB	now
once	IN	once
I	PP	I
have	VBP	have
my	PP$	my
PhD	NN	PhD
I	PP	I
can	MD	can
get	VB	get
a	DT	a
job	NN	job
as	IN	as
a	DT	a
lecturer	NN	lecturer
and	CC	and
I	PP	I
get	VBP	get
forty	NN	forty
thousand	CD	thousand
pounds	NNS	pound
a	DT	a
year	NN	year
so	IN	so
that	WDT	that
's	VBZ	be
the	DT	the
only	JJ	only
ti	NN	ti
that	WDT	that
's	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
bracket	NN	bracket
that	IN	that
I	PP	I
need	VBP	need
to	TO	to
be	VB	be
on	IN	on
