?	SENT	?
yeah	RB	yeah
say	VBP	say
b	NN	b
I	PP	I
think	VBP	think
couple	NN	couple
of	IN	of
weeks	NNS	week
ago	RB	ago
he	PP	he
played	VBD	play
against	IN	against
a	DT	a
lo	NN	lo
sh	VBZ	<unknown>
the	DT	the
kids	NNS	kid
the	DT	the
teachers	NNS	teacher
but	CC	but
he	PP	he
's	VBZ	be
still	RB	still
captain	NN	captain
of	IN	of
he	PP	he
's	VBZ	be
still	RB	still
captain	NN	captain
of	IN	of
the	DT	the
reserves	NNS	reserve
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
he	PP	he
's	VBZ	be
played	VBN	play
for	IN	for
the	DT	the
firsts	NNS	first
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
he	PP	he
's	VBZ	be
got	VBN	get
a	DT	a
sniff	VB	sniff
for	IN	for
them	PP	them
at	IN	at
the	DT	the
moment	NN	moment
erm	NN	erm
especially	RB	especially
being	VBG	be
captain	VB	captain
I	PP	I
always	RB	always
found	VBD	find
that	WDT	that
's	VBZ	be
a	DT	a
weird	JJ	weird
thing	NN	thing
having	VBG	have
captain	NN	captain
of	IN	of
the	DT	the
reserves	NNS	reserve
you	PP	you
do	VBP	do
n't	RB	n't
really	RB	really
wanna	VB	wanna
lose	VB	lose
your	PP$	your
captain	NN	captain
to	TO	to
have	VB	have
him	PP	him
play	VB	play
for	IN	for
the	DT	the
firsts	NNS	first
but	CC	but
yeah	RB	yeah
n	NN	n
I	PP	I
think	VBP	think
he	PP	he
plays	VBZ	play
for	IN	for
'	''	'
s	VBZ	<unknown>
every	DT	every
so	RB	so
often	RB	often
when	WRB	when
he	PP	he
has	VBZ	have
n't	RB	n't
got	VBN	get
a	DT	a
game	NN	game
but	CC	but
he	PP	he
's	VBZ	be
in	IN	in
Wales	NP	Wales
at	IN	at
the	DT	the
moment	NN	moment
so	RB	so
