yeah	RB	yeah
he	PP	he
had	VBD	have
a	DT	a
hea	NN	hea
he	PP	he
had	VBD	have
plan	NN	plan
in	IN	in
his	PP$	his
head	NN	head
you	PP	you
know	VBP	know
he	PP	he
wanted	VBD	want
to	TO	to
move	VB	move
to	TO	to
Cambridge	NP	Cambridge
he	PP	he
wanted	VBD	want
to	TO	to
he	PP	he
wants	VBZ	want
to	TO	to
do	VB	do
his	PP$	his
own	JJ	own
thing	NN	thing
and	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
in	IN	in
him	PP	him
like	VBP	like
you	PP	you
can	MD	can
see	VB	see
him	PP	him
very	RB	very
much	RB	much
likes	VBZ	like
doing	VBG	do
his	PP$	his
own	JJ	own
thing	NN	thing
he	PP	he
's	VBZ	be
really	RB	really
independent	JJ	independent
erm	NN	erm
so	IN	so
I	PP	I
do	VBP	do
n't	RB	n't
he	PP	he
was	VBD	be
ready	JJ	ready
to	TO	to
meet	VB	meet
a	DT	a
girl	NN	girl
who	WP	who
was	VBD	be
then	RB	then
gonna	VBG	gonna
like	IN	like
dictate	NN	dictate
that	IN	that
or	CC	or
like	VBP	like
have	VB	have
an	DT	an
opinion	NN	opinion
on	IN	on
like	IN	like
you	PP	you
know	VBP	know
what	WP	what
he	PP	he
's	VBZ	be
doing	VBG	do
and	CC	and
so	RB	so
for	IN	for
ages	NNS	age
I	PP	I
think	VBP	think
he	PP	he
was	VBD	be
holding	VBG	hold
onto	IN	onto
this	DT	this
idea	NN	idea
that	IN	that
like	IN	like
he	PP	he
wanted	VBD	want
to	TO	to
be	VB	be
independent	JJ	independent
he	PP	he
wanted	VBD	want
to	TO	to
be	VB	be
single	JJ	single
he	PP	he
wanted	VBD	want
to	TO	to
be	VB	be
this	DT	this
he	PP	he
wanted	VBD	want
to	TO	to
be	VB	be
that	IN	that
but	RB	but
actually	RB	actually
like	IN	like
you	PP	you
ca	MD	ca
n't	RB	n't
choose	VB	choose
when	WRB	when
you	PP	you
meet	VBP	meet
someone	NN	someone
like	IN	like
