anyway	RB	anyway
so	RB	so
it	PP	it
's	VBZ	be
like	IN	like
hanging	VBG	hang
in	IN	in
the	DT	the
tree	NN	tree
and	CC	and
she	PP	she
's	VBZ	be
like	IN	like
finally	RB	finally
got	VBN	get
through	IN	through
this	DT	this
ordeal	NN	ordeal
and	CC	and
erm	NN	erm
and	CC	and
then	RB	then
this	DT	this
guy	NN	guy
comes	VBZ	come
whose	WP$	whose
land	NN	land
it	PP	it
is	VBZ	be
I	PP	I
guess	VBP	guess
which	WDT	which
they	PP	they
w	NN	w
just	RB	just
like	IN	like
thought	NN	thought
it	PP	it
was	VBD	be
like	IN	like
free	JJ	free
land	NN	land
and	CC	and
erm	NN	erm
he	PP	he
was	VBD	be
like	IN	like
what	WP	what
well	RB	well
like	VBP	like
w	NN	w
like	IN	like
what	WP	what
are	VBP	be
you	PP	you
what	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
and	CC	and
erm	NN	erm
she	PP	she
's	VBZ	be
like	IN	like
erm	NN	erm
we	PP	we
're	VBP	be
making	VBG	make
he	PP	he
's	VBZ	be
like	JJ	like
like	IN	like
I	PP	I
know	VBP	know
that	DT	that
deer	NN	deer
like	IN	like
I	PP	I
gr	NN	Gr
I	PP	I
've	VBP	have
I	PP	I
've	VBP	have
like	IN	like
er	NNS	<unknown>
grown	VBN	grow
up	RP	up
with	IN	with
it	PP	it
like	VBP	like
she	PP	she
's	VBZ	be
she	PP	she
could	MD	could
n't	RB	n't
explain	VB	explain
it	PP	it
she	PP	she
'd	MD	will
like	VB	like
found	VBD	find
it	PP	it
somewhere	RB	somewhere
else	RB	else
and	CC	and
driven	VBN	drive
it	PP	it
to	TO	to
his	PP$	his
land	NN	land
and	CC	and
put	VB	put
it	PP	it
on	RP	on
and	CC	and
he	PP	he
thought	VBD	think
that	IN	that
it	PP	it
was	VBD	be
like	IN	like
this	DT	this
he	PP	he
was	VBD	be
like	IN	like
kind	NN	kind
of	IN	of
crazy	JJ	crazy
and	CC	and
thought	VBD	think
that	IN	that
it	PP	it
was	VBD	be
this	DT	this
deer	NN	deer
that	IN	that
he	PP	he
'd	MD	will
like	VB	like
known	VBN	know
for	IN	for
years	NNS	year
and	CC	and
that	IN	that
they	PP	they
'd	MD	will
come	VB	come
like	IN	like
these	DT	these
weird	JJ	weird
peoples	NNS	people
and	CC	and
like	JJ	like
killed	VBD	kill
it	PP	it
and	CC	and
strung	VBD	string
it	PP	it
into	IN	into
a	DT	a
tree	NN	tree
and	CC	and
started	VBD	start
