yeah	RB	yeah
I	PP	I
was	VBD	be
like	IN	like
I	PP	I
'm	VBP	be
not	RB	not
lying	VBG	lie
we	PP	we
did	VBD	do
n't	RB	n't
talk	VB	talk
about	IN	about
you	PP	you
at	IN	at
all	PDT	all
and	CC	and
and	CC	and
I	PP	I
make	VBP	make
I	PP	I
mean	VBP	mean
I	PP	I
do	VBP	do
n't	RB	n't
I	PP	I
do	VBP	do
n't	RB	n't
talk	VB	talk
about	IN	about
her	PP	her
very	RB	very
much	RB	much
anyway	RB	anyway
I	PP	I
know	VBP	know
I	PP	I
do	VBP	do
here	RB	here
I	PP	I
feel	VBP	feel
awful	JJ	awful
actually	RB	actually
cos	NN	cos
I	PP	I
've	VBP	have
been	VBN	be
talking	VBG	talk
about	IN	about
her	PP	her
quite	RB	quite
a	DT	a
bit	NN	bit
here	RB	here
but	CC	but
at	IN	at
uni	NN	uni
I	PP	I
really	RB	really
do	VBP	do
n't	RB	n't
like	VB	like
and	CC	and
especially	RB	especially
if	IN	if
she	PP	she
's	VBZ	be
in	IN	in
the	DT	the
house	NN	house
I	PP	I
'm	VBP	be
not	RB	not
mentioning	VBG	mention
her	PP$	her
name	NN	name
cos	NN	cos
she	PP	she
'll	MD	will
be	VB	be
like	JJ	like
at	IN	at
the	DT	the
door	NN	door
and	CC	and
so	RB	so
er	JJ	<unknown>
so	IN	so
I	PP	I
I	PP	I
do	VBP	do
n't	RB	n't
say	VB	say
anything	NN	anything
at	IN	at
all	DT	all
erm	NN	erm
and	CC	and
it	PP	it
was	VBD	be
only	RB	only
when	WRB	when
she	PP	she
left	VBD	leave
the	DT	the
house	NN	house
did	VBD	do
I	PP	I
go	VBP	go
into	IN	into
and	CC	and
say	VBP	say
you	PP	you
know	VBP	know
are	VBP	be
you	PP	you
okay	JJ	okay
about	IN	about
the	DT	the
you	PP	you
and	CC	and
stuff	NN	stuff
?	SENT	?
and	CC	and
then	RB	then
and	CC	and
that	DT	that
was	VBD	be
like	IN	like
the	DT	the
only	JJ	only
time	NN	time
and	CC	and
so	RB	so
how	WRB	how
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
how	WRB	how
I	PP	I
just	RB	just
through	IN	through
that	IN	that
I	PP	I
was	VBD	be
like	IN	like
not	RB	not
saying	VBG	say
anything	NN	anything
I	PP	I
was	VBD	be
like	IN	like
I	PP	I
'm	VBP	be
not	RB	not
talking	VBG	talk
about	IN	about
you	PP	you
I	PP	I
do	VBP	do
n't	RB	n't
talk	VB	talk
about	IN	about
you	PP	you
ever	RB	ever
in	IN	in
the	DT	the
house	NN	house
cos	NN	cos
I	PP	I
know	VBP	know
too	RB	too
dangerous	JJ	dangerous
