cos	NN	cos
you	PP	you
know	VBP	know
you	PP	you
sort	VB	sort
of	IN	of
worked	VBN	work
and	CC	and
he	PP	he
says	VBZ	say
oh	UH	oh
you	PP	you
know	VBP	know
there	EX	there
's	VBZ	be
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
grinding	VBG	grind
from	IN	from
the	DT	the
back	JJ	back
axel	NN	axel
so	IN	so
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
we	PP	we
you	PP	you
know	VBP	know
undo	VB	undo
these	DT	these
bolts	NNS	bolt
here	RB	here
and	CC	and
you	PP	you
'll	MD	will
see	VB	see
the	DT	the
you	PP	you
know	VBP	know
the	DT	the
where	WRB	where
is	VBZ	be
the	DT	the
back	JJ	back
axel	NN	axel
thing	NN	thing
and	CC	and
you	PP	you
're	VBP	be
oh	UH	oh
look	VB	look
these	DT	these
well	RB	well
these	DT	these
are	VBP	be
chipped	VBN	chip
these	DT	these
gears	NNS	gear
here	RB	here
so	RB	so
what	WP	what
we	PP	we
're	VBP	be
gonna	VBG	gonna
do	VB	do
is	VBZ	be
replace	VB	replace
them	PP	them
so	RB	so
how	WRB	how
you	PP	you
do	VBP	do
that	IN	that
there	EX	there
's	VBZ	be
a	DT	a
circlip	NN	<unknown>
there	RB	there
so	RB	so
you	PP	you
get	VBP	get
a	DT	a
circlip	NN	<unknown>
and	CC	and
clip	VB	clip
that	DT	that
and	CC	and
do	VBP	do
you	PP	you
can	MD	can
just	RB	just
draw	VB	draw
it	PP	it
off	RP	off
and	CC	and
he	PP	he
says	VBZ	say
and	CC	and
here	RB	here
's	VBZ	be
the	DT	the
replacement	NN	replacement
part	NN	part
you	PP	you
just	RB	just
put	VBP	put
it	PP	it
back	VBP	back
again	RB	again
put	VB	put
the	DT	the
circlip	NN	<unknown>
back	RB	back
