becaubecause	VB	becaubecause
I	PP	I
first	JJ	first
of	IN	of
all	DT	all
he	PP	he
gave	VBD	give
this	DT	this
thing	NN	thing
to	TO	to
me	PP	me
and	CC	and
I	PP	I
erm	RB	<unknown>
said	VBD	say
that	IN	that
I	PP	I
could	MD	could
I	PP	I
said	VBD	say
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
it	PP	it
but	CC	but
the	DT	the
and	CC	and
then	RB	then
he	PP	he
but	CC	but
then	RB	then
he	PP	he
got	VBD	get
really	RB	really
like	VB	like
upset	VBN	upset
and	CC	and
got	VBN	get
and	CC	and
mad	JJ	mad
and	CC	and
erm	NN	erm
I	PP	I
said	VBD	say
I	PP	I
ca	MD	ca
n't	RB	n't
accept	VB	accept
a	DT	a
gift	NN	gift
from	IN	from
you	PP	you
I	PP	I
ca	MD	ca
n't	RB	n't
accept	VB	accept
a	DT	a
gift	NN	gift
from	IN	from
you	PP	you
but	CC	but
and	CC	and
but	CC	but
then	RB	then
he	PP	he
was	VBD	be
rea	NP	rea
he	PP	he
was	VBD	be
upset	VBN	upset
because	IN	because
he	PP	he
'd	VBD	have
been	VBN	be
and	CC	and
bought	VBD	buy
it	PP	it
and	CC	and
chose	VBD	choose
it	PP	it
especially	RB	especially
and	CC	and
all	RB	all
this	DT	this
kind	NN	kind
of	IN	of
business	NN	business
and	CC	and
it	PP	it
was	VBD	be
supposed	VBN	suppose
to	TO	to
be	VB	be
a	DT	a
peace	NN	peace
offering	NN	offering
and	CC	and
all	DT	all
of	IN	of
this	DT	this
erm	NN	erm
