well	RB	well
like	IN	like
cos	NN	cos
obviously	RB	obviously
his	PP$	his
staff	NN	staff
were	VBD	be
like	IN	like
totally	RB	totally
took	VBD	take
it	PP	it
it	PP	it
was	VBD	be
quite	RB	quite
funny	JJ	funny
actually	RB	actually
like	IN	like
I	PP	I
'll	MD	will
make	VB	make
it	PP	it
a	DT	a
short	JJ	short
story	NN	story
but	CC	but
she	PP	she
she	PP	she
he	PP	he
had	VBD	have
this	DT	this
member	NN	member
of	IN	of
staff	NN	staff
working	VBG	work
who	WP	who
was	VBD	be
always	RB	always
always	RB	always
always	RB	always
stitching	VBG	stitch
him	PP	him
up	RP	up
like	IN	like
come	VBN	come
in	IN	in
late	RB	late
not	RB	not
show	VB	show
up	RP	up
and	CC	and
like	VB	like
sort	NN	sort
of	IN	of
lie	NN	lie
about	IN	about
it	PP	it
to	TO	to
get	VB	get
out	RP	out
of	IN	of
shifts	NNS	shift
and	CC	and
stuff	NN	stuff
and	CC	and
then	RB	then
the	DT	the
she	PP	she
's	VBZ	be
she	PP	she
's	VBZ	be
and	CC	and
stuff	NN	stuff
anyway	RB	anyway
so	RB	so
she	PP	she
wanted	VBD	want
to	TO	to
get	VB	get
out	RP	out
of	IN	of
the	DT	the
shift	NN	shift
and	CC	and
she	PP	she
was	VBD	be
like	IN	like
no	RB	no
you	PP	you
know	VBP	know
like	IN	like
I	PP	I
emailed	VBD	email
you	PP	you
about	IN	about
it	PP	it
and	CC	and
he	PP	he
's	VBZ	be
like	IN	like
okay	NN	okay
I	PP	I
have	VBP	have
n't	RB	n't
got	VBN	get
it	PP	it
but	CC	but
if	IN	if
you	PP	you
forward	VBP	forward
me	PP	me
the	DT	the
email	NN	<unknown>
then	RB	then
like	IN	like
fair	JJ	fair
enough	RB	enough
so	RB	so
like	IN	like
a	DT	a
day	NN	day
later	RBR	later
she	PP	she
forwards	VBZ	forward
him	PP	him
this	DT	this
email	NN	<unknown>
it	PP	it
's	VBZ	be
like	JJ	like
obviously	RB	obviously
been	VBN	be
doctored	VBN	doctor
and	CC	and
really	RB	really
badly	RB	badly
like	IN	like
she	PP	she
forwarded	VBD	forward
to	TO	to
herself	PP	herself
and	CC	and
then	RB	then
edited	VBD	edit
it	PP	it
and	CC	and
then	RB	then
forwarded	VBD	forward
it	PP	it
and	CC	and
then	RB	then
was	VBD	be
like	JJ	like
yeah	RB	yeah
see	VBP	see
here	RB	here
I	PP	I
wrote	VBD	write
this	DT	this
but	CC	but
like	IN	like
she	PP	she
'd	VBD	have
done	VBN	do
it	PP	it
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
totally	RB	totally
left	VBD	leave
this	DT	this
like	JJ	like
clear	JJ	clear
evidence	NN	evidence
of	IN	of
what	WP	what
she	PP	she
'd	VBD	have
done	VBN	do
you	PP	you
know	VBP	know
