yes	UH	yes
exactly	RB	exactly
so	RB	so
if	IN	if
if	IN	if
I	PP	I
simply	RB	simply
take	VB	take
what	WP	what
I	PP	I
'm	VBP	be
what	WP	what
I	PP	I
'm	VBP	be
just	RB	just
doing	VBG	do
now	RB	now
which	WDT	which
is	VBZ	be
web	NN	web
design	NN	design
and	CC	and
development	NN	development
yeah	RB	yeah
?	SENT	?
if	IN	if
I	PP	I
'm	VBP	be
if	IN	if
I	PP	I
can	MD	can
see	VB	see
that	IN	that
it	PP	it
's	VBZ	be
a	DT	a
worthwhile	JJ	worthwhile
exercise	NN	exercise
tto	NN	tto
to	TO	to
to	TO	to
compartmentalise	VB	compartmentalise
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
've	VBP	have
been	VBN	be
doing	VBG	do
and	CC	and
ship	VB	ship
those	DT	those
out	RP	out
and	CC	and
get	VB	get
clients	NNS	client
first	JJ	first
er	NN	er
you	PP	you
've	VBP	have
gotta	VBN	gotta
make	VB	make
the	DT	the
things	NNS	thing
fit	VBP	fit
together	RB	together
nicely	RB	nicely
in	IN	in
a	DT	a
box	NN	box
but	CC	but
if	IN	if
you	PP	you
can	MD	can
get	VB	get
clients	NNS	client
'	POS	'
work	NN	work
in	IN	in
ship	NN	ship
that	WDT	that
stuff	VBP	stuff
out	RB	out
get	VB	get
it	PP	it
back	RB	back
and	CC	and
you	PP	you
're	VBP	be
allowing	VBG	allow
yourself	PP	yourself
enough	JJ	enough
time	NN	time
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
you	PP	you
're	VBP	be
providing	VBG	provide
them	PP	them
exactly	RB	exactly
what	WP	what
they	PP	they
want	VBP	want
how	WRB	how
they	PP	they
want	VBP	want
it	PP	it
to	TO	to
be	VB	be
done	VBN	do
so	IN	so
you	PP	you
're	VBP	be
probably	RB	probably
doing	VBG	do
some	DT	some
work	NN	work
yourself	PP	yourself
but	CC	but
not	RB	not
all	RB	all
of	IN	of
it	PP	it
