where	WRB	where
everyone	NN	everyone
and	CC	and
then	RB	then
maintenance	NN	maintenance
is	VBZ	be
kind	NN	kind
of	IN	of
more	JJR	more
of	IN	of
an	DT	an
external	JJ	external
thing	NN	thing
you	PP	you
do	VBP	do
n't	RB	n't
need	VB	need
if	IN	if
something	NN	something
breaks	NNS	break
in	IN	in
your	PP$	your
house	NN	house
if	IN	if
effectively	RB	effectively
it	PP	it
just	RB	just
comes	VBZ	come
out	RP	out
of	IN	of
taxes	NNS	tax
if	IN	if
you	PP	you
're	VBP	be
like	IN	like
this	DT	this
is	VBZ	be
broken	VBN	break
then	RB	then
it	PP	it
just	RB	just
you	PP	you
know	VBP	know
some	DT	some
company	NN	company
comes	VBZ	come
round	VB	round
a	DT	a
government	NN	government
agency	NN	agency
and	CC	and
fixes	VBZ	fix
it	PP	it
rather	RB	rather
than	IN	than
you	PP	you
having	VBG	have
to	TO	to
do	VB	do
that	IN	that
yourself	PP	yourself
cos	NN	cos
you	PP	you
get	VBP	get
people	NNS	people
as	RB	as
well	RB	well
that	IN	that
I	PP	I
had	VBD	have
a	DT	a
friend	NN	friend
that	WDT	that
got	VBD	get
a	DT	a
mortgage	NN	mortgage
and	CC	and
he	PP	he
had	VBD	have
their	PP$	their
house	NN	house
flooded	VBN	flood
in	IN	in
America	NP	America
and	CC	and
he	PP	he
's	VBZ	be
just	RB	just
got	VBN	get
the	DT	the
house	NN	house
and	CC	and
then	RB	then
the	DT	the
house	NN	house
flooded	VBN	flood
like	IN	like
there	EX	there
was	VBD	be
a	DT	a
freak	NN	freak
weather	NN	weather
accident	NN	accident
in	IN	in
in	IN	in
Nashville	NP	Nashville
or	CC	or
Tennessee	NP	Tennessee
and	CC	and
just	RB	just
lumped	VBD	lump
them	PP	them
with	IN	with
masses	NNS	mass
and	CC	and
masses	NNS	mass
of	IN	of
debt	NN	debt
just	RB	just
