next	JJ	next
to	TO	to
your	PP$	your
like	JJ	like
grade	NN	grade
you	PP	you
got	VBD	get
from	IN	from
particular	JJ	particular
exams	NNS	exam
we	PP	we
but	CC	but
we	PP	we
just	RB	just
had	VBD	have
it	PP	it
online	JJ	online
but	CC	but
erm	JJ	<unknown>
so	IN	so
I	PP	I
was	VBD	be
waiting	VBG	wait
for	IN	for
that	IN	that
then	RB	then
just	RB	just
got	VBN	get
like	IN	like
a	DT	a
random	JJ	random
phone	NN	phone
call	VBP	call
one	CD	one
day	NN	day
and	CC	and
it	PP	it
was	VBD	be
like	IN	like
the	DT	the
head	NN	head
of	IN	of
department	NN	department
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
hello	NN	hello
this	DT	this
is	VBZ	be
random	JJ	random
because	IN	because
I	PP	I
knew	VBD	know
it	PP	it
was	VBD	be
a	DT	a
number	NN	number
on	IN	on
my	PP$	my
phone	NN	phone
and	CC	and
then	RB	then
they	PP	they
were	VBD	be
like	IN	like
we	PP	we
're	VBP	be
just	RB	just
calling	VBG	call
to	TO	to
let	VB	let
you	PP	you
know	VB	know
that	IN	that
you	PP	you
got	VBD	get
a	DT	a
first	JJ	first
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
what	WP	what
?	SENT	?
and	CC	and
then	RB	then
because	IN	because
they	PP	they
rang	VBD	ring
everybody	NN	everybody
personally	RB	personally
that	IN	that
got	VBN	get
a	DT	a
first	JJ	first
like	IN	like
before	IN	before
the	DT	the
results	NNS	result
came	VBD	come
out	RP	out
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
and	CC	and
like	IN	like
no	DT	no
one	CD	one
was	VBD	be
at	IN	at
home	NN	home
then	RB	then
so	RB	so
I	PP	I
was	VBD	be
just	RB	just
like	IN	like
jumping	VBG	jump
around	RP	around
in	IN	in
my	PP$	my
bedroom	NN	bedroom
on	IN	on
my	PP$	my
own	JJ	own
like	JJ	like
yay	NN	yay
I	PP	I
've	VBP	have
got	VBN	get
no	RB	no
one	CD	one
to	TO	to
tell	VB	tell
yet	RB	yet
and	CC	and
like	IN	like
I	PP	I
think	VBP	think
he	PP	he
could	MD	could
tell	VB	tell
that	IN	that
I	PP	I
just	RB	just
wanted	VBD	want
to	TO	to
like	VB	like
squeal	NN	squeal
in	IN	in
excitement	NN	excitement
because	IN	because
he	PP	he
was	VBD	be
like	IN	like
you	PP	you
can	MD	can
go	VB	go
ahead	RB	ahead
and	CC	and
scream	VB	scream
