when	WRB	when
was	VBD	be
she	PP	she
would	MD	would
have	VB	have
been	VBN	be
very	RB	very
small	JJ	small
there	RB	there
's	VBZ	be
three	CD	three
years	NNS	year
between	IN	between
them	PP	them
almost	RB	almost
exactly	RB	exactly
so	RB	so
was	VBD	be
very	RB	very
little	JJ	little
and	CC	and
she	PP	she
might	MD	might
have	VB	have
been	VBN	be
in	IN	in
the	DT	the
baby	NN	baby
sling	NN	sling
I	PP	I
do	VBP	do
n't	RB	n't
remember	VB	remember
having	VBG	have
a	DT	a
pushchair	NN	pushchair
so	IN	so
she	PP	she
might	MD	might
have	VB	have
been	VBN	be
in	IN	in
the	DT	the
in	IN	in
the	DT	the
baby	NN	baby
sling	NN	sling
she	PP	she
was	VBD	be
so	RB	so
small	JJ	small
erm	NN	erm
and	CC	and
I	PP	I
would	MD	would
say	VB	say
to	TO	to
stay	VB	stay
with	IN	with
mummy	NN	mummy
you	PP	you
know	VBP	know
old	JJ	old
my	PP$	my
hold	VB	hold
my	PP$	my
coat	NN	coat
or	CC	or
my	PP$	my
hand	NN	hand
or	CC	or
hold	VB	hold
on	IN	on
to	TO	to
it	PP	it
just	RB	just
or	CC	or
or	CC	or
just	RB	just
be	VB	be
there	RB	there
and	CC	and
she	PP	she
wandered	VBD	wander
off	IN	off
she	PP	she
'd	VBD	have
seen	VBN	see
something	NN	something
she	PP	she
wandered	VBD	wander
off	RP	off
to	TO	to
look	VB	look
at	IN	at
it	PP	it
and	CC	and
I	PP	I
saw	VBD	see
her	PP$	her
going	VBG	go
and	CC	and
at	IN	at
not	RB	not
one	CD	one
point	NN	point
did	VBD	do
she	PP	she
look	VBP	look
back	RB	back
at	IN	at
me	PP	me
she	PP	she
was	VBD	be
just	RB	just
focused	VBN	focus
on	IN	on
going	VBG	go
and	CC	and
so	RB	so
I	PP	I
followed	VBD	follow
her	PP	her
down	RP	down
the	DT	the
shop	NN	shop
but	CC	but
I	PP	I
kept	VBD	keep
on	IN	on
stepping	VBG	step
behind	IN	behind
clothes	NNS	clothes
rails	NNS	rail
and	CC	and
things	NNS	thing
