anyway	RB	anyway
erm	NN	erm
they	PP	they
were	VBD	be
at	IN	at
this	DT	this
conference	NN	conference
and	CC	and
they	PP	they
were	VBD	be
all	DT	all
in	IN	in
the	DT	the
residential	JJ	residential
block	NN	block
and	CC	and
they	PP	they
had	VBD	have
brought	VBN	bring
their	PP$	their
bottle	NN	bottle
of	IN	of
vodka	NN	vodka
with	IN	with
them	PP	them
in	IN	in
their	PP$	their
luggage	NN	luggage
so	IN	so
they	PP	they
were	VBD	be
s	VBG	<unknown>
they	PP	they
were	VBD	be
drinking	VBG	drink
in	IN	in
their	PP$	their
bedroom	NN	bedroom
this	DT	this
vodka	NN	vodka
and	CC	and
he	PP	he
turned	VBD	turn
up	RP	up
and	CC	and
tried	VBD	try
to	TO	to
sort	VB	sort
of	IN	of
pal	NN	pal
up	RP	up
with	IN	with
them	PP	them
and	CC	and
erm	NN	erm
actually	RB	actually
got	VBD	get
too	RB	too
familiar	JJ	familiar
with	IN	with
them	PP	them
and	CC	and
what	WP	what
did	VBD	do
he	PP	he
do	VBP	do
?	SENT	?
erm	NN	erm
I	PP	I
ca	MD	ca
n't	RB	n't
remember	VB	remember
I	PP	I
got	VBD	get
an	DT	an
official	JJ	official
complaint	NN	complaint
from	IN	from
them	PP	them
cos	NN	cos
I	PP	I
think	VBP	think
he	PP	he
called	VBD	call
them	PP	them
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
what	WP	what
he	PP	he
called	VBD	call
them	PP	them
he	PP	he
c	SYM	c
he	PP	he
he	PP	he
call	VBP	call
he	PP	he
said	VBD	say
something	NN	something
he	PP	he
called	VBD	call
them	PP	them
something	NN	something
they	PP	they
were	VBD	be
drunk	JJ	drunk
and	CC	and
he	PP	he
was	VBD	be
drunk	JJ	drunk
but	CC	but
they	PP	they
were	VBD	be
n't	RB	n't
so	RB	so
drunk	JJ	drunk
that	IN	that
they	PP	they
did	VBD	do
n't	RB	n't
notice	VB	notice
that	IN	that
he	PP	he
was	VBD	be
being	VBG	be
rude	JJ	rude
to	TO	to
them	PP	them
and	CC	and
so	RB	so
they	PP	they
reported	VBD	report
him	PP	him
afterwards	RB	afterwards
and	CC	and
he	PP	he
was	VBD	be
like	IN	like
yeah	RB	yeah
but	CC	but
i	NP	i
this	DT	this
is	VBZ	be
a	DT	a
term	NN	term
of	IN	of
endearment	NN	endearment
in	IN	in
Scouse	JJ	Scouse
