yeah	RB	yeah
I	PP	I
think	VBP	think
I	PP	I
think	VBP	think
they	PP	they
're	VBP	be
better	JJR	good
for	IN	for
it	PP	it
now	RB	now
but	CC	but
I	PP	I
think	VBP	think
he	PP	he
's	VBZ	be
also	RB	also
one	CD	one
of	IN	of
reasons	NNS	reason
I	PP	I
have	VBP	have
n't	RB	n't
seen	VBN	see
her	PP	her
in	IN	in
ages	NNS	age
cos	NN	cos
I	PP	I
think	VBP	think
I	PP	I
think	VBP	think
she	PP	she
's	VBZ	be
still	RB	still
kind	RB	kind
of	IN	of
like	IN	like
she	PP	she
's	VBZ	be
a	DT	a
bit	NN	bit
like	IN	like
me	PP	me
in	IN	in
as	RB	as
much	JJ	much
like	IN	like
she	PP	she
's	VBZ	have
got	VBN	get
a	DT	a
lazy	JJ	lazy
boyfriend	NN	boyfriend
so	IN	so
that	WDT	that
she	PP	she
ends	VBZ	end
up	RP	up
running	VBG	run
round	NN	round
doing	VBG	do
everything	NN	everything
and	CC	and
that	DT	that
's	VBZ	be
what	WP	what
it	PP	it
was	VBD	be
with	IN	with
me	PP	me
and	CC	and
at	IN	at
the	DT	the
start	NN	start
like	IN	like
I	PP	I
felt	VBD	feel
like	IN	like
I	PP	I
was	VBD	be
making	VBG	make
all	PDT	all
the	DT	the
plans	NNS	plan
and	CC	and
I	PP	I
was	VBD	be
making	VBG	make
all	DT	all
of	IN	of
the	DT	the
effort	NN	effort
erm	NN	erm
and	CC	and
it	PP	it
sounds	VBZ	sound
like	IN	like
she	PP	she
's	VBZ	be
still	RB	still
doing	VBG	do
the	DT	the
same	JJ	same
so	IN	so
she	PP	she
's	VBZ	be
still	RB	still
running	VBG	run
round	NN	round
like	IN	like
she	PP	she
's	VBZ	be
driving	VBG	drive
to	TO	to
in	IN	in
the	DT	the
week	NN	week
and	CC	and
she	PP	she
's	VBZ	be
the	DT	the
one	CD	one
that	WDT	that
's	VBZ	be
kind	NN	kind
of	IN	of
