okay	JJ	okay
but	CC	but
you	PP	you
were	VBD	be
n't	RB	n't
there	RB	there
when	WRB	when
we	PP	we
were	VBD	be
talking	VBG	talk
about	IN	about
it	PP	it
but	CC	but
erm	VBP	<unknown>
yeah	RB	yeah
it	PP	it
was	VBD	be
boiling	VBG	boil
hot	JJ	hot
and	CC	and
absolutely	RB	absolutely
did	VBD	do
not	RB	not
want	VB	want
to	TO	to
be	VB	be
in	IN	in
there	RB	there
at	IN	at
all	RB	all
and	CC	and
was	VBD	be
very	RB	very
cross	NN	cross
and	CC	and
I	PP	I
mean	VBP	mean
I	PP	I
I	PP	I
had	VBD	have
brought	VBN	bring
sweets	NNS	sweet
and	CC	and
er	NN	er
nuts	NNS	nut
and	CC	and
books	NNS	book
and	CC	and
all	DT	all
sorts	NNS	sort
of	IN	of
stuff	NN	stuff
but	CC	but
you	PP	you
were	VBD	be
just	RB	just
furious	JJ	furious
in	IN	in
and	CC	and
it	PP	it
was	VBD	be
so	RB	so
stressful	JJ	stressful
trying	VBG	try
to	TO	to
get	VB	get
you	PP	you
to	TO	to
be	VB	be
quiet	JJ	quiet
absolutely	RB	absolutely
you	PP	you
just	RB	just
did	VBD	do
n't	RB	n't
want	VB	want
to	TO	to
be	VB	be
quiet	JJ	quiet
and	CC	and
I	PP	I
was	VBD	be
saying	VBG	say
to	TO	to
erm	VB	<unknown>
the	DT	the
thing	NN	thing
that	IN	that
she	PP	she
did	VBD	do
like	IN	like
were	VBD	be
the	DT	the
toilets	NNS	toilet
because	IN	because
they	PP	they
had	VBD	have
little	JJ	little
tiny	JJ	tiny
toilets	NNS	toilet
for	IN	for
for	IN	for
small	JJ	small
people	NNS	people
and	CC	and
small	JJ	small
sinks	NNS	sink
so	IN	so
that	WDT	that
's	VBZ	be
all	DT	all
she	PP	she
wanted	VBD	want
to	TO	to
do	VB	do
was	VBD	be
to	TO	to
go	VB	go
and	CC	and
hang	VB	hang
out	RP	out
in	IN	in
the	DT	the
toilet	NN	toilet
so	IN	so
she	PP	she
kept	VBD	keep
saying	VBG	say
I	PP	I
think	VBP	think
I	PP	I
need	VBP	need
to	TO	to
go	VB	go
to	TO	to
the	DT	the
toilet	NN	toilet
I	PP	I
need	VBP	need
a	DT	a
wee	NN	wee
I	PP	I
need	VBP	need
a	DT	a
wee	NN	wee
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
do	VBP	do
you	PP	you
again	RB	again
?	SENT	?
yes	UH	yes
I	PP	I
do	VBP	do
and	CC	and
she	PP	she
would	MD	would
have	VB	have
this	DT	this
evil	JJ	evil
glint	NN	glint
in	IN	in
her	PP$	her
eye	NN	eye
but	CC	but
we	PP	we
should	MD	should
have	VB	have
just	RB	just
stayed	VBN	stay
out	RP	out
outside	RB	outside
there	RB	there
because	IN	because
it	PP	it
was	VBD	be
n't	RB	n't
as	RB	as
hot	JJ	hot
there	RB	there
and	CC	and
it	PP	it
was	VBD	be
actually	RB	actually
quite	RB	quite
a	DT	a
warm	JJ	warm
day	NN	day
unlike	IN	unlike
today	NN	today
which	WDT	which
is	VBZ	be
freezing	NN	freezing
but	CC	but
erm	NN	erm
yes	NN	yes
you	PP	you
were	VBD	be
not	RB	not
happy	JJ	happy
