yeah	RB	yeah
and	CC	and
she	PP	she
said	VBD	say
and	CC	and
like	IN	like
you	PP	you
really	RB	really
should	MD	should
come	VB	come
home	NN	home
you	PP	you
know	VBP	know
you	PP	you
've	VBP	have
only	RB	only
got	VBN	get
a	DT	a
few	JJ	few
months	NNS	month
left	VBN	leave
in	IN	in
England	NP	England
I	PP	I
do	VBP	do
n't	RB	n't
understand	VB	understand
why	WRB	why
you	PP	you
do	VBP	do
n't	RB	n't
bother	VB	bother
coming	VBG	come
home	NN	home
now	RB	now
like	IN	like
why	WRB	why
are	VBP	be
you	PP	you
gonna	VBG	gonna
wait	NN	wait
until	IN	until
June	NP	June
?	SENT	?
why	WRB	why
prolong	VB	prolong
it	PP	it
?	SENT	?
just	RB	just
come	VB	come
back	RB	back
now	RB	now
and	CC	and
she	PP	she
's	VBZ	be
like	IN	like
woah	NN	<unknown>
and	CC	and
she	PP	she
's	VBZ	be
like	JJ	like
and	CC	and
also	RB	also
when	WRB	when
you	PP	you
go	VBP	go
and	CC	and
come	VBP	come
back	RB	back
like	VB	like
do	VBP	do
n't	RB	n't
move	VB	move
to	TO	to
I	PP	I
know	VBP	know
you	PP	you
want	VBP	want
to	TO	to
move	VB	move
to	TO	to
but	CC	but
you	PP	you
only	RB	only
wanna	VBP	wanna
move	NN	move
to	TO	to
cos	NN	cos
like	IN	like
your	PP$	your
friend	NN	friend
lives	NNS	life
there	RB	there
and	CC	and
you	PP	you
know	VBP	know
you	PP	you
ca	MD	ca
n't	RB	n't
live	VB	live
your	PP$	your
life	NN	life
through	IN	through
your	PP$	your
friends	NNS	friend
but	CC	but
you	PP	you
know	VBP	know
family	NN	family
's	VBZ	be
so	RB	so
much	RB	much
more	RBR	more
important	JJ	important
like	IN	like
we	PP	we
're	VBP	be
important	JJ	important
to	TO	to
you	PP	you
like	IN	like
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
prove	VB	prove
that	IN	that
we	PP	we
're	VBP	be
important	JJ	important
and	CC	and
was	VBD	be
like	IN	like
wow	NN	wow
this	DT	this
is	VBZ	be
my	PP$	my
birthday	NN	birthday
and	CC	and
you	PP	you
're	VBP	be
just	RB	just
telling	VBG	tell
me	PP	me
that	IN	that
I	PP	I
'm	VBP	be
gonna	VBG	gonna
be	VB	be
a	DT	a
shit	NN	shit
mum	NN	mum
I	PP	I
'm	VBP	be
nearly	RB	nearly
thirty	CD	thirty
and	CC	and
that	IN	that
my	PP$	my
life	NN	life
is	VBZ	be
crap	NN	crap
like	IN	like
wow	NN	wow
and	CC	and
she	PP	she
just	RB	just
spent	VBD	spend
pretty	RB	pretty
much	RB	much
her	PP$	her
whole	JJ	whole
birthday	NN	birthday
crying	VBG	cry
