because	IN	because
everywhere	RB	everywhere
's	VBZ	be
air-conditioned	JJ	air-conditioned
you	PP	you
know	VBP	know
as	RB	as
soon	RB	soon
as	IN	as
you	PP	you
step	VBP	step
in	IN	in
a	DT	a
door	NN	door
or	CC	or
somewhere	RB	somewhere
it	PP	it
's	VBZ	be
like	IN	like
cold	NN	cold
you	PP	you
know	VBP	know
so	RB	so
it	PP	it
's	VBZ	be
only	RB	only
when	WRB	when
you	PP	you
're	VBP	be
out	RB	out
and	CC	and
about	RB	about
and	CC	and
there	EX	there
was	VBD	be
just	RB	just
so	RB	so
much	RB	much
I	PP	I
mean	VBP	mean
there	EX	there
was	VBD	be
so	RB	so
much	JJ	much
to	TO	to
do	VB	do
I	PP	I
mean	VB	mean
there	EX	there
was	VBD	be
only	JJ	only
I	PP	I
think	VBP	think
there	EX	there
was	VBD	be
only	RB	only
one	CD	one
night	NN	night
I	PP	I
mean	VBP	mean
given	VBN	give
that	IN	that
it	PP	it
was	VBD	be
em	NN	em
spring	NN	spring
break	VBP	break
you	PP	you
know	VBP	know
so	RB	so
there	EX	there
's	VBZ	be
loads	NNS	load
of	IN	of
people	NNS	people
there	EX	there
was	VBD	be
only	RB	only
night	NN	night
where	WRB	where
we	PP	we
had	VBD	have
any	DT	any
trouble	NN	trouble
at	IN	at
all	DT	all
finding	VBG	find
something	NN	something
to	TO	to
somewhere	RB	somewhere
to	TO	to
stay	VB	stay
you	PP	you
know	VB	know
and	CC	and
literally	RB	literally
we	PP	we
would	MD	would
we	PP	we
would	MD	would
just	RB	just
drive	VB	drive
pick	VB	pick
somewhere	RB	somewhere
to	TO	to
go	VB	go
and	CC	and
we	PP	we
would	MD	would
drive	VB	drive
there	RB	there
do	VB	do
something	NN	something
during	IN	during
the	DT	the
day	NN	day
and	CC	and
then	RB	then
in	IN	in
the	DT	the
evening	NN	evening
try	VB	try
and	CC	and
find	VB	find
somewhere	RB	somewhere
to	TO	to
stay	VB	stay
I	PP	I
think	VB	think
it	PP	it
as	IN	as
only	RB	only
one	CD	one
night	NN	night
in	IN	in
sort	NN	sort
of	IN	of
three	CD	three
weeks	NNS	week
where	WRB	where
we	PP	we
had	VBD	have
any	DT	any
trouble	NN	trouble
and	CC	and
I	PP	I
think	VBP	think
that	WDT	that
was	VBD	be
the	DT	the
first	JJ	first
night	NN	night
down	RB	down
into	IN	into
the	DT	the
quays	NNS	quay
we	PP	we
ended	VBD	end
up	RP	up
staying	VBG	stay
at	IN	at
this	DT	this
really	RB	really
if	IN	if
if	IN	if
we	PP	we
had	VBD	have
n't	RB	n't
have	VB	have
been	VBN	be
a	DT	a
a	DT	a
group	NN	group
of	IN	of
of	IN	of
youngsters	NNS	youngster
probably	RB	probably
pissed	VBN	piss
at	IN	at
the	DT	the
time	NN	time
it	PP	it
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
places	NNS	place
it	PP	it
's	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
em	NN	em
like	IN	like
holiday	NN	holiday
camp	NN	camp
you	PP	you
know	VBP	know
trailer	NN	trailer
park	NN	park
kind	NN	kind
of	IN	of
place	NN	place
you	PP	you
would	MD	would
never	RB	never
have	VB	have
though	RB	though
to	TO	to
stay	VB	stay
there	RB	there
and	CC	and
it	PP	it
was	VBD	be
eh	JJ	<unknown>
but	CC	but
it	PP	it
was	VBD	be
hilarious	JJ	hilarious
the	DT	the
the	DT	the
two	CD	two
guys	NNS	guy
that	WDT	that
ran	VBD	run
the	DT	the
place	NN	place
and	CC	and
all	PDT	all
this	DT	this
and	CC	and
it	PP	it
was	VBD	be
hilarious	JJ	hilarious
but	CC	but
eh	JJ	<unknown>
we	PP	we
were	VBD	be
convinced	VBN	convince
that	IN	that
we	PP	we
'd	VBD	have
got	VBN	get
carbon	NN	carbon
monoxide	NN	monoxide
poisoning	NN	poisoning
from	IN	from
the	DT	the
blooming	VBG	bloom
eh	NNS	<unknown>
the	DT	the
air	NN	air
conditioning	NN	conditioning
unit	NN	unit
that	WDT	that
was	VBD	be
just	RB	just
going	VBG	go
in	IN	in
the	DT	the
room	NN	room
all	DT	all
night	NN	night
sort	NN	sort
of	IN	of
thing	NN	thing
but	CC	but
eh	NN	eh
but	CC	but
no	RB	no
I	PP	I
mean	VBP	mean
it	PP	it
was	VBD	be
really	RB	really
good	JJ	good
but	CC	but
I	PP	I
mean	VBP	mean
the	DT	the
only	RB	only
I	PP	I
always	RB	always
say	VBP	say
the	DT	the
only	JJ	only
trouble	NN	trouble
with	IN	with
eh	NP	eh
America	NP	America
was	VBD	be
the	DT	the
Americans	NPS	Americans
but	CC	but
they	PP	they
were	VBD	be
in	IN	in
honesty	NN	honesty
really	RB	really
good	JJ	good
