apparently	RB	apparently
was	VBD	be
saying	VBG	say
she	PP	she
like	IN	like
cos	NN	cos
they	PP	they
she	PP	she
was	VBD	be
tied	VBN	tie
to	TO	to
a	DT	a
chair	NN	chair
and	CC	and
like	IN	like
she	PP	she
was	VBD	be
blindfolded	VBN	blindfold
and	CC	and
she	PP	she
'd	VBD	have
got	VBN	get
like	IN	like
cuffs	NNS	cuff
on	IN	on
and	CC	and
he	PP	he
'd	VBD	have
laid	VBN	lay
the	DT	the
chairs	NNS	chair
back	RB	back
and	CC	and
like	VB	like
her	PP$	her
legs	NNS	leg
were	VBD	be
tied	VBN	tie
to	TO	to
the	DT	the
chair	NN	chair
so	IN	so
her	PP$	her
legs	NNS	leg
were	VBD	be
open	JJ	open
and	CC	and
erm	NN	erm
he	PP	he
just	RB	just
sat	VBD	sit
there	RB	there
and	CC	and
like	VB	like
open	RP	open
your	PP$	your
mouth	NN	mouth
and	CC	and
she	PP	she
's	VBZ	be
like	IN	like
no	DT	no
and	CC	and
he	PP	he
's	VBZ	be
like	IN	like
open	JJ	open
your	PP$	your
mouth	NN	mouth
and	CC	and
she	PP	she
's	VBZ	be
like	VB	like
oh	UH	oh
and	CC	and
everybody	NN	everybody
was	VBD	be
going	VBG	go
open	RP	open
your	PP$	your
mouth	NN	mouth
open	VB	open
your	PP$	your
mouth	NN	mouth
and	CC	and
she	PP	she
did	VBD	do
and	CC	and
he	PP	he
put	VB	put
ah	UH	ah
she	PP	she
was	VBD	be
like	IN	like
it	PP	it
's	VBZ	be
the	DT	the
worst	JJS	bad
thing	NN	thing
that	WDT	that
ever	RB	ever
happened	VBD	happen
to	TO	to
me	PP	me
and	CC	and
I	PP	I
've	VBP	have
never	RB	never
told	VBN	tell
