yeah	RB	yeah
went	VBD	go
out	RP	out
to	TO	to
an	DT	an
alligator	NN	alligator
farm	NN	farm
and	CC	and
all	DT	all
of	IN	of
this	DT	this
but	CC	but
eh	JJ	<unknown>
but	CC	but
we	PP	we
'd	VBD	have
gone	VBN	go
eh	NNS	<unknown>
it	PP	it
was	VBD	be
spring	NN	spring
break	NN	break
so	RB	so
obviously	RB	obviously
the	DT	the
whole	NN	whole
of	IN	of
America	NP	America
has	VBZ	have
descended	VBN	descend
on	IN	on
Florida	NP	Florida
anyway	RB	anyway
we	PP	we
did	VBD	do
n't	RB	n't
quite	RB	quite
realise	VB	realise
this	DT	this
before	IN	before
we	PP	we
before	IN	before
we	PP	we
got	VBD	get
there	RB	there
but	CC	but
eh	RB	<unknown>
but	CC	but
no	RB	no
it	PP	it
was	VBD	be
really	RB	really
good	JJ	good
but	CC	but
eh	JJ	<unknown>
it	PP	it
was	VBD	be
about	RB	about
when	WRB	when
we	PP	we
got	VBD	get
there	RB	there
it	PP	it
was	VBD	be
thirty	CD	thirty
degrees	NNS	degree
and	CC	and
about	RB	about
eight	CD	eight
per	IN	per
cent	NN	cent
humidity	NN	humidity
and	CC	and
we	PP	we
'd	VBD	have
gone	VBN	go
first	RB	first
we	PP	we
'd	VBD	have
gone	VBN	go
up	RP	up
in	IN	in
further	JJR	further
north	NN	north
in	IN	in
Florida	NP	Florida
before	IN	before
coming	VBG	come
down	RP	down
into	IN	into
the	DT	the
Everglades	NPS	Everglades
and	CC	and
the	DT	the
down	RB	down
into	IN	into
the	DT	the
quays	NNS	quay
and	CC	and
we	PP	we
were	VBD	be
just	RB	just
due	JJ	due
to	TO	to
drive	VB	drive
back	RB	back
to	TO	to
Miami	NP	Miami
to	TO	to
get	VB	get
the	DT	the
flight	NN	flight
home	NN	home
when	WRB	when
in	IN	in
the	DT	the
quays	NNS	quay
it	PP	it
had	VBD	have
got	VBN	get
to	TO	to
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
like	IN	like
forty	NN	forty
degrees	NNS	degree
and	CC	and
hundred	CD	hundred
per	IN	per
cent	NN	cent
humidity	NN	humidity
and	CC	and
it	PP	it
had	VBD	have
just	RB	just
got	VBN	get
the	DT	the
the	DT	the
point	NN	point
where	WRB	where
I	PP	I
was	VBD	be
starting	VBG	start
to	TO	to
go	VB	go
no	DT	no
I	PP	I
'm	VBP	be
going	VBG	go
to	TO	to
die	VB	die
if	IN	if
we	PP	we
do	VBP	do
n't	RB	n't
leave	VB	leave
sort	NN	sort
of	IN	of
thing	NN	thing
em	NN	em
but	CC	but
eh	NN	eh
once	IN	once
we	PP	we
got	VBD	get
out	RP	out
of	IN	of
the	DT	the
quays	NNS	quay
and	CC	and
back	RB	back
up	RB	up
to	TO	to
like	VB	like
Miami	NP	Miami
it	PP	it
was	VBD	be
nice	JJ	nice
but	CC	but
eh	JJ	<unknown>
