yeah	RB	yeah
but	CC	but
weirdly	RB	weirdly
it	PP	it
's	VBZ	be
that	DT	that
kind	NN	kind
of	IN	of
thing	NN	thing
is	VBZ	be
n't	RB	n't
it	PP	it
?	SENT	?
it	PP	it
's	VBZ	be
that	IN	that
I	PP	I
've	VBP	have
been	VBN	be
to	TO	to
so	RB	so
many	JJ	many
er	NN	er
there	EX	there
's	VBZ	be
this	DT	this
one	CD	one
night	NN	night
in	IN	in
London	NP	London
called	VBD	call
o	NN	o
old	JJ	old
rope	NN	rope
and	CC	and
you	PP	you
sort	RB	sort
of	IN	of
think	VB	think
that	WDT	that
er	NN	er
it	PP	it
's	VBZ	be
where	WRB	where
people	NNS	people
come	VBP	come
across	RP	across
and	CC	and
they	PP	they
do	VBP	do
new	JJ	new
material	NN	material
and	CC	and
if	IN	if
they	PP	they
have	VBP	have
n't	RB	n't
done	VBN	do
any	DT	any
er	JJ	<unknown>
preparation	NN	preparation
and	CC	and
they	PP	they
're	VBP	be
literally	RB	literally
doing	VBG	do
new	JJ	new
material	NN	material
they	PP	they
ca	MD	ca
n't	RB	n't
remember	VB	remember
that	IN	that
they	PP	they
ca	MD	ca
n't	RB	n't
do	VB	do
it	PP	it
and	CC	and
if	IN	if
they	PP	they
're	VBP	be
a	DT	a
new	JJ	new
comedian	NN	comedian
it	PP	it
just	RB	just
it	PP	it
always	RB	always
flops	VBZ	flop
it	PP	it
always	RB	always
does	VBZ	do
unless	IN	unless
they	PP	they
've	VBP	have
got	VBN	get
this	DT	this
kind	NN	kind
of	IN	of
amazing	VBG	amaze
there	EX	there
is	VBZ	be
few	JJ	few
people	NNS	people
that	WDT	that
can	MD	can
have	VB	have
that	DT	that
kind	NN	kind
of	IN	of
eloquence	NN	eloquence
and	CC	and
just	RB	just
this	DT	this
speed	NN	speed
of	IN	of
mind	NN	mind
or	CC	or
whatever	WDT	whatever
that	DT	that
can	MD	can
make	VB	make
it	PP	it
funny	JJ	funny
hardly	RB	hardly
anyone	NN	anyone
can	MD	can
I	PP	I
think	VB	think
unless	IN	unless
they	PP	they
've	VBP	have
got	VBN	get
this	DT	this
amazing	JJ	amazing
like	JJ	like
backlog	NN	backlog
of	IN	of
comedy	NN	comedy
so	IN	so
they	PP	they
can	MD	can
just	RB	just
they	PP	they
've	VBP	have
got	VBN	get
stuff	NN	stuff
to	TO	to
go	VB	go
back	RB	back
to	TO	to
